channelTitle,title,description,default_thumbnail,tags,likeCount,viewCount,commentCount
The Emirates FA Cup,Luton Town v Manchester City | Key Moments | Fifth Round | Emirates FA Cup 2023-24,"Watch the key moments between Luton v Manchester City in the fifth round of the Emirates FA Cup.

Follow @EmiratesFACup on Twitter for in-game highlights and match updates!
https://twitter.com/emiratesfacup

Subscribe:
https://www.youtube.com/thefacup

To find out more about The FA Cup visit:
https://www.TheFA.com/EmiratesFACup

The FA Cup on Facebook:
http://www.facebook.com/TheFACup

The FA Cup on Instagram:
http://www.instagram.com/emiratesfacup/

The FA Cup on Tiktok:
https://www.tiktok.com/@emiratesfacup",https://i.ytimg.com/vi/t6G-UiRY2I0/default.jpg,"Luton Town,Luton Town vs. Manchester City,Manchester City,The_FA_Commentary,Erling Haaland,5 Goals Haaland",34858,1995943,1082
PERSIB,Kami Kembali ke Jalur Kemenangan ⚽⚽⚽ | Match Highlights vs PSIS Semarang,"PERSIB menjamu lawannya PSIS di Stadion Si Jalak Harupat dalam lanjutan Liga 1 2023/2024 pada Selasa, 27 Februari 2024.

Pertandingan ini menjadikan PERSIB naik ke peringkat kedua setelah Stefano dan David da Silva cetak gol di laga malam ini.
____________

#PERSIB #PERSIBTV #WeArePERSIB 

🔵 Selamat datang di kanal YouTube resmi PERSIB Klub sepakbola asal Kota Bandung, Jawa Barat. Nikmati beragam konten menarik di sini. Cuplikan pertandingan, sesi latihan, PERSIB podcast, akses di balik layar, acara komunitas, dan masih banyak lagi.
🔔 Aktifkan tombol notifikasinya dan jangan lewatkan video terbaru dari kami.

🔵 Welcome to the official PERSIB YouTube channel. Football club from Bandung, West Java. Enjoy a variety of interesting content here. Match highlights, training sessions, PERSIB podcast, behind the scenes access, community events, and much more.
🔔 Turn your notifications on, and don't miss our latest video.

🔵 Wilujeng sumping di channel YouTube resmi PERSIB Klub sepak bola ti Bandung, Jawa Barat. Rasakeun rupa-rupa eusi video di dieu. Sorotan pertandingan, sesi latihan, podcast PERSIB, aksés di balik layar, acara komunitas, jeung sajabana.
🔔 Aktifkeun notifikasina, ulah nepi katinggaleun video nu pangapdetna.

--
Ikuti kami di:
Website: www.persib.co.id
Facebook: https://www.facebook.com/PERSIB-Bandung-21164211233/
Twitter: https://twitter.com/persib
Instagram: https://www.instagram.com/persib
TikTok: https://vt.tiktok.com/ZSdgBEs9H/

Download PERSIB app: 
Android version: https://play.google.com/store/apps/details?id=com.persib.persibpass
iOS version: https://apps.apple.com/id/app/aladin-bank/id1586598115

Subscribe Kanal YouTube resmi PERSIB https://www.youtube.com/user/PersibOfficial?sub_confirmation=1

PERSIB Store:
desty.page/persibofficialstore 
https://www.instagram.com/persib_officialstore/",https://i.ytimg.com/vi/A0cO2HuZrag/default.jpg,"persib,persib tv,persib official,persibday,persib bandung,pangeran biru,bobotoh,bri liga 1,liga indonesia,sepakbola indonesia,liga sepakbola indonesia,liga 1 indonesia,bobotoh persib,berita persib,pemain persib,pelatih persib,youtube persib,latihan persib hari ini,latihan persib,persib hari ini,berita persib hari ini,liga 1,persib liga 1,persib vs,persib skor,We Are PERSIB,highlight persib vs psis,persib vs psis,stefano gol,persib jalak",7063,192980,542
Dhot Design,AWAL KEHANCURAN PART 7 (TAMAT) - Animasi Sekolah,"Animasi yang menceritakan masa masa sekolah SMA, yang seru, lucu, membahas percitaan dan penuh dengan arti kehidupan.

SOCIAL MEDIA :

INSTAGRAM : https://www.instagram.com/dhot.design/

FACEBOOK : DHOT (Design)
https://www.facebook.com/profile.php?id=100087442015696&mibextid=ZbWKwL

Facebook FANSPAGE : https://www.facebook.com/profile.php?id=100088236669799&mibextid=ZbWKwL

TIKTOK : Dhot Design
tiktok.com/@dhotdesign

BSTATION : Dhot Design

SNACK VIDEO : DHOT DESIGN
https://sck.io/u/@DhotDesign/XB3hjPGs

#dhokona #animasisekolah #animasilucusekolah #kartunsekolah #animasilucuindo #animasindonesia #animasianaksma #animeschool #schoolanime

Animasi sekolah, animasi lucu sekolahan, animasi menceritakan masa sekolah, animasi lokal, animasi lucu indonesia, kartun anak sekolah, animasi kocak sekolah, animasi kocak bikin ngakak, animasi menceritakan anak sekolah, anime school, anime sekolahan, animasi masa sekolah sma, animasi anak sma, animasi anak smp, amimasi seru sekolahan, animasi keren sekolahan.",https://i.ytimg.com/vi/AOnOHjP80Iw/default.jpg,"dhot design,dhokona,animasi sekolah,animasi tentang sekolahan,animasi lucu sekolah,animasi tentang anak sekolah,animasi sekolah sma,animasi kocak bikin ngakak,animasi lucu anak sma,animasi sekolah indonesia,anime school,anime sekolahan,kartun lucu sekolah",197760,4034673,9705
DaFuq!?Boom!,skibidi toilet 71,"while alliance were busy with cooking scientist, someone escaped

full-screen version

additional particles by HoovyTube

Contact me:
instagram.com/dafuqboomtv
blugrayguy@gmail.com",https://i.ytimg.com/vi/aFvw_yu0N3A/default.jpg,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",917190,19204412,54216
BABYMONSTER,BABYMONSTER - 1st MINI ALBUM [BABYMONS7ER] ANNOUNCEMENT,"#BABYMONSTER #베이비몬스터 #1stMINIALBUM #BABYMONS7ER #20240401 #ANNOUNCEMENT #YG

More about BABYMONSTER @
Official YouTube https://www.youtube.com/@BABYMONSTER
Official Instagram https://www.instagram.com/babymonster_ygofficial
Official Facebook https://www.facebook.com/BABYMONSTER.ygofficial
Official Twitter https://twitter.com/YGBABYMONSTER_
Official TikTok https://tiktok.com/@babymonster_yg_tiktok
Official Weibo https://weibo.com/u/7811488144
Official bilibili https://space.bilibili.com/3493127232948989",https://i.ytimg.com/vi/o7FyUvFbQek/default.jpg,"BABYMONSTER,베이비몬스터,베몬,BABYMON,BAEMON,하람,아현,루카,치키타,파리타,로라,아사,HARAM,AHYEON,RUKA,CHIQUITA,PHARITA,RORA,ASA",78767,422941,5005
IRUL DANI,KE RUMAH YANTI GUIXE DI PONGGOK BLITAR PERTAMAKALI!! DI MASAKIN BANYAK BANGET DAN BONUS PANEN BUAH!!,,https://i.ytimg.com/vi/Y45yrXwrD1c/default.jpg,"Irul Dani vlog,Irul Dani vlog terbaru,Yanti guixe,Yanti guixe family,Kawin campur,Istri bule,Suami bule,Menikah dengan bule",11031,247320,699
GadgetIn,"Bosen review, saya langsung bikin HP sendiri","Behind the scene betapa detil & ketatnya proses perakitan realme 12 Pro+ 5G yang pake kamera Periscope 🤤

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com

#realme12ProPlus5G #Pabrik",https://i.ytimg.com/vi/U76imVp-OgQ/default.jpg,,36851,954095,2810
崩壊：スターレイル,【崩壊：スターレイル】花火 キャラクターPV 「独り芝居」,"「世の中に面倒じゃない人なんていないって」
「花火と一緒に全部めちゃくちゃにしてくれたら、君を花火のものにしてあげる！」

キャスト
花火 CV: #上田麗奈

今すぐダウンロード
https://hoyo.link/dVDhFDAL

フォローして最新情報をチェックしよう
【崩壊：スターレイル公式サイト】https://hsr.hoyoverse.com/ja-jp/home
【崩壊：スターレイル公式Twitter】https://twitter.com/houkaistarrail
【崩壊：スターレイル公式TikTok】https://www.tiktok.com/@houkaistarrail_jp
HoYoLAB: https://www.hoyolab.com/accountCenter/postList?id=172534910


#崩壊スターレイル #スターレイル #花火",https://i.ytimg.com/vi/-FrbSYzlqdU/default.jpg,,66249,786678,2309
RANS FC Official,Match Highlight: RANS Nusantara FC vs Dewa United | Liga 1 2023/2024,"#Ranskandia #RANSNusantaraFC #RANSFC #RiseUp #Liga1

___________________________

📲 RANS FC on Social Media
Instagram: https://instagram.com/rans.nusantara
Facebook: https://www.facebook.com/rans.nusantara.fc
Twitter: https://twitter.com/ransfcofficial
TikTok: https://www.tiktok.com/@ransnusantara.fc",https://i.ytimg.com/vi/9t4VkDmXVho/default.jpg,"rans nusantara fc,rans fc,ransfc,rans cilegon fc,rans,ranskandia,raffi ahmad,rudy salim,liga1,ransday,raffiahmad,rans sport,rans entertainment,rans cilegon,raffi",623,105865,318
X Factor Indonesia,Duet Judika & Kris Tomahu - Suci Dalam Debu & Isabella - Gala Live Show 7 - X Factor Indonesia 2024,"#EPS17 #XFactorIndonesia #GalaLiveShow

Keren Duet Kris & Bang Judika membawakan lagu ""Suci Dalam Debu"" & ""Isabella"", berhasil memberikan penampilan yang memukau.
X Fellas, siapa yang suka banget sama penampilan mereka?
__________________________________________________

IT'S TIME TO FACE THE MUSIC!!! 

This is the X Factor Indonesia Official YouTube Channel

Robby Purba akan kembali sebagai host di X Factor Indonesia season 4.
Ada Ariel, Bunga Citra Lestari, Judika, Ello & Vidi Aldiano yang ikut meramaikan sebagai judges di X Factor Indonesia season 4. 

Follow Us On Social Media :  
Like X Factor Indonesia on Facebook: 
http://www.facebook.com/XFactorID

Follow X Factor Indonesia on Twitter: 
http://twitter.com/XFactorID

Do You Have Instagram, follow us:
https://instagram.com/xfactoridofficial",https://i.ytimg.com/vi/WZAeGdAtc4k/default.jpg,"xfactor,indonesia,factor,competition,kompetisi,RCTI,fremantle,robby,purba,Judika,BCL,Bunga,Citra,Lestari,Noah,Ariel,Peterpan,season 4,ello,marcello tahitoe,vidi aldiano,aldiano,audisi,vidi podhub,gala live show,galaliveshow,maia estianty,kris tomahu,x factor indonesia 2024,x factor indonesia,x factor indonesia 2023,kris tomahu x factor,x factor indonesia 2024 terbaru,x factor,kris tomahu x factor 2023,x factor indonesia 2024 kris tomahu,kris tomahu reaction",10743,582138,1179
